100
1	17	13
1	37	2
1	61	21
2	15	5
2	16	8
2	26	13
2	38	15
2	42	11
2	45	7
2	49	12
2	54	13
2	67	12
2	76	6
2	89	20
2	95	2
2	99	11
2	100	5
3	2	5
3	4	24
3	13	13
3	21	14
3	29	8
3	33	28
3	39	10
3	41	17
3	46	10
3	50	13
3	59	26
3	68	5
3	73	6
3	92	2
3	96	19
3	100	3
4	14	9
4	15	49
4	19	11
4	22	13
4	44	10
4	61	14
4	80	4
4	92	23
5	17	11
5	21	8
5	25	3
5	33	11
5	57	7
5	64	149
5	90	24
6	2	29
6	8	2
6	15	16
6	18	1
6	24	23
6	33	1
6	38	9
6	51	90
7	26	14
7	36	3
7	37	10
7	43	9
7	46	6
7	49	22
7	76	3
7	81	23
7	86	4
7	96	6
8	3	26
8	11	5
8	12	13
8	36	298
8	42	34
8	45	11
8	51	2
8	55	25
8	58	9
8	59	2
8	71	23
8	93	25
9	10	7
9	30	4
9	39	17
9	43	1
9	65	8
9	68	3
9	75	12
9	94	1
9	96	38
10	2	4
10	13	7
10	19	1
10	20	10
10	33	15
10	36	14
10	56	4
10	61	8
10	62	4
10	82	13
10	85	6
10	91	7
11	1	17
11	10	16
11	14	9
11	15	27
11	36	11
11	39	4
11	41	4
11	47	12
11	58	10
11	60	6
11	62	1
11	64	31
11	71	10
11	76	8
11	79	14
11	84	13
11	86	9
12	10	3
12	27	9
12	36	4
12	38	8
12	39	6
12	49	12
12	87	15
12	96	15
13	10	9
13	17	5
13	18	22
13	24	38
13	27	4
13	28	6
13	29	8
13	41	4
13	47	34
13	62	8
13	74	8
14	55	9
14	62	4
14	79	13
14	82	7
14	85	6
14	92	75
15	25	23
15	39	5
15	44	7
15	60	16
15	66	19
15	81	3
15	88	34
15	95	10
16	22	37
16	28	4
16	33	5
16	51	30
16	60	15
16	62	18
16	81	5
17	2	1
17	5	11
17	15	9
17	38	7
17	42	30
17	49	7
17	60	33
17	64	8
17	81	1
17	97	8
18	30	19
18	50	6
18	61	1
18	67	5
18	78	5
19	1	39
19	6	47
19	10	7
19	11	15
19	12	6
19	16	80
19	39	8
19	48	14
19	87	9
19	97	1
20	3	11
20	16	13
20	25	7
20	29	21
20	30	3
20	38	7
20	45	23
20	52	3
20	63	2
20	64	2
20	95	13
21	4	14
21	6	62
21	16	38
21	24	28
21	31	6
21	33	4
21	40	21
21	44	8
21	50	26
21	51	32
21	62	9
21	65	30
21	70	15
21	83	3
22	3	8
22	6	322
22	7	14
22	41	2
22	62	14
22	64	12
22	68	32
22	72	4
22	77	9
22	82	9
22	91	5
22	94	17
22	98	45
23	5	3
23	37	12
23	47	9
23	54	87
23	56	4
23	89	18
23	92	10
23	97	3
23	98	12
24	16	17
24	26	17
24	27	12
24	55	18
24	58	18
24	66	1
24	79	13
24	80	12
25	9	16
25	21	4
25	52	12
25	61	16
25	72	83
25	86	10
26	2	8
26	39	10
26	69	19
26	73	9
26	75	5
26	93	4
26	94	16
26	100	7
27	4	10
27	10	27
27	39	3
27	61	13
27	70	10
27	94	7
27	100	11
28	2	1
28	12	9
28	16	10
28	31	21
28	37	18
28	44	8
28	77	8
28	81	7
28	89	13
28	96	65
28	97	2
28	100	6
29	1	19
29	5	21
29	15	9
29	16	20
29	20	4
29	26	2
29	35	3
29	52	20
29	61	7
29	62	46
29	63	21
29	68	1
29	90	7
29	100	2
30	7	36
30	9	9
30	23	16
30	44	4
30	50	17
30	57	7
30	72	23
30	87	16
30	90	19
30	91	5
30	100	8
31	11	4
31	26	13
31	32	7
31	39	38
31	40	24
31	42	4
31	57	14
31	64	12
31	69	1
31	80	9
31	85	151
31	87	7
31	89	7
32	11	10
32	13	1
32	25	77
32	27	30
32	72	20
32	85	10
32	92	1
32	96	8
33	9	34
33	12	6
33	15	3
33	31	16
33	42	28
33	50	5
33	55	19
33	61	6
33	75	14
33	84	11
33	87	8
33	89	14
33	93	1
34	2	2
34	7	28
34	17	13
34	42	21
34	100	1
35	21	7
35	31	3
35	34	37
35	43	9
35	62	5
35	69	12
35	81	31
35	91	34
35	98	22
36	4	2
36	6	9
36	10	10
36	29	31
36	31	2
36	37	8
36	40	13
36	45	20
36	46	9
36	62	17
36	86	12
36	99	12
37	2	7
37	27	8
37	46	23
37	73	16
37	100	8
38	6	20
38	11	11
38	15	7
38	28	1
38	32	1
38	40	11
38	42	6
38	73	12
38	82	2
38	84	6
38	86	26
38	90	317
38	93	11
39	12	8
39	18	4
39	26	20
39	31	16
39	49	9
39	57	39
39	64	7
39	74	167
39	77	51
39	89	6
39	96	8
40	7	3
40	19	21
40	32	10
40	37	82
40	52	11
40	54	15
40	59	2
40	61	13
40	82	34
41	9	7
41	10	10
41	27	7
41	37	11
41	48	9
41	82	21
41	99	1
42	13	5
42	14	5
42	15	23
42	31	8
42	35	13
42	38	9
42	50	12
42	51	8
42	52	16
42	60	45
42	66	21
42	68	9
42	77	5
42	82	19
42	83	7
42	84	31
42	91	5
42	94	1
42	100	28
43	8	3
43	29	33
43	77	7
43	78	22
43	79	88
44	3	1
44	7	19
44	18	11
44	24	9
44	25	9
44	40	7
44	53	15
44	98	36
45	10	1
45	15	11
45	23	12
45	37	3
45	64	4
45	75	5
45	90	10
45	99	6
46	12	32
46	25	4
46	44	34
46	50	1
46	74	14
46	75	15
46	82	15
46	96	6
47	20	13
47	24	15
47	28	10
47	32	17
47	43	18
47	58	2
47	81	5
47	93	19
48	3	13
48	38	13
48	40	69
48	55	3
48	61	8
48	67	21
48	92	9
49	2	14
49	13	73
49	20	13
49	28	3
49	40	9
49	50	8
49	64	18
49	73	11
49	79	1
49	100	7
50	6	5
50	10	3
50	13	19
50	14	8
50	17	30
50	56	11
50	80	4
51	10	11
51	13	25
51	18	3
51	20	17
51	28	7
51	29	2
51	35	13
51	45	13
51	47	5
51	61	17
51	98	6
52	2	1
52	3	5
52	9	14
52	26	8
52	53	7
52	65	5
52	74	27
52	91	4
52	94	24
53	22	10
53	23	8
53	34	8
53	35	7
53	40	77
53	80	4
53	95	15
54	19	13
54	30	14
54	41	58
54	63	11
54	71	3
54	76	14
55	3	15
55	22	22
55	48	13
55	53	2
55	54	12
55	73	7
55	96	16
55	97	17
56	20	21
56	21	18
56	22	15
56	23	20
56	36	36
56	51	19
56	64	14
56	76	4
56	81	7
56	93	2
57	34	12
57	35	9
57	44	5
57	69	16
57	72	7
57	75	5
57	85	23
58	3	1
58	5	3
58	17	13
58	19	3
58	38	2
58	43	15
58	52	2
58	53	15
58	64	6
58	84	6
58	87	10
59	4	14
59	6	5
59	8	18
59	13	3
59	14	2
59	84	11
59	87	42
59	91	4
59	92	1
59	100	4
60	4	8
60	8	30
60	16	13
60	34	7
60	41	28
60	68	1
60	70	11
61	6	23
61	7	9
61	10	13
61	12	19
61	15	10
61	24	141
61	55	25
61	71	7
61	73	6
61	83	3
61	94	4
61	95	42
62	3	19
62	8	22
62	15	14
62	19	20
62	34	11
62	51	19
62	55	17
62	71	10
62	80	3
63	2	6
63	5	57
63	39	1
63	44	7
63	62	8
63	80	18
63	96	4
63	97	24
64	16	4
64	28	11
64	36	3
64	39	7
64	57	5
64	63	14
64	72	2
64	79	23
65	3	2
65	24	9
65	25	5
65	32	10
65	45	13
65	57	6
65	61	1
65	91	3
66	9	22
66	12	9
66	18	14
66	19	4
66	21	12
66	24	2
66	49	5
66	55	18
66	65	2
66	71	12
66	79	14
66	84	21
66	95	12
67	14	1
67	45	6
67	46	18
67	47	8
67	54	10
67	64	4
67	71	25
67	75	1
67	94	2
67	99	3
68	6	21
68	8	17
68	11	1
68	32	11
68	33	17
68	39	6
68	42	2
68	45	10
68	58	17
68	69	33
68	92	11
69	3	23
69	13	14
69	35	8
69	36	23
69	43	27
69	46	48
69	47	13
69	60	19
69	61	24
69	88	2
70	5	12
70	11	77
70	13	26
70	15	18
70	18	69
70	20	6
70	24	7
70	25	9
70	36	3
70	39	5
70	50	8
70	52	1
70	60	6
